Provinsi,Kemiskinan,PDRB,RLS,Pengeluaran,TPT,AHH,AMH,RT
ACEH,15.32,164210636.34,9.18,9603,6.17,69.585,98.21,80.3249943098736
SUMATERAUTARA,8.83,801733339.98,9.45,10649,5.39,68.39,99.15,68.3488543662598
SUMATERABARAT,6.42,246422724.79,8.92,10925,5.38,68.82,99.17,70.7513728164826
RIAU,7.08,765198298.61,9.03,11255,5.76,71.02,99.21,70.5466629184077
JAMBI,7.6,217711779.47,8.45,10592,4.06,70.71,98.2,82.2573569834872
SUMATERASELATAN,12.71,455232776.78,8.18,10937,4.53,69.23,98.76,81.5248440428502
BENGKULU,15.23,72143372.88,8.73,10409,3.26,68.575,98.01,82.7220048526332
LAMPUNG,12.62,360663624.81,7.92,10114,4.03,69.975,97.11,88.596064549474
KEP.BANGKABELITUNG,4.62,75829323.69,7.98,12959,3.58,69.985,98.09,85.5142099523827
KEP.RIAU,5.9,268079987.44,9.99,14466,7.5,69.5,99,66.6184500496518
DKIJAKARTA,3.47,2840827863.08,11.06,18527,6.54,72.595,99.74,47.1240867267471
JAWABARAT,6.91,2125157989.07,8.37,11152,8.04,72.5,98.53,77.8931104247761
JAWATENGAH,10.8,1362457380.57,7.53,11102,4.44,74.09,93.54,89.0408181869145
DIYOGYAKARTA,11.7,141400183.08,9.38,14394,3.18,74.76,94.96,73.2928952865546
JAWATIMUR,10.37,2352425220.74,7.59,11739,3.82,70.76,92.32,87.5790849279828
BANTEN,5.09,664963401.57,8.74,12267,8.11,69.52,97.62,80.3551614509431
BALI,3.79,252597504.04,8.84,14146,1.57,71.465,94.53,72.875986433263
NUSATENGGARABARAT,14.56,132674150.9,7.27,10640,3.28,65.495,87.59,87.1549213559128
NUSATENGGARATIMUR,21.09,106892840.68,7.55,7769,3.14,66.08,93.24,86.8758024432829
KALIMANTANBARAT,7.49,212318428.46,7.31,9055,4.35,69.95,93.21,88.520458766529
KALIMANTANTENGAH,4.98,150283195.64,8.51,11236,4.04,69.595,99.22,75.5772066911891
KALIMANTANSELATAN,4.55,180737964.03,8.2,12253,4.18,67.965,98.5,76.3301541710516
KALIMANTANTIMUR,5.94,653677102.66,9.7,12359,5.94,73.74,99.03,69.127477838474
KALIMANTANUTARA,6.63,97458405.05,8.94,9343,4.49,72.42,96.39,72.0635856187529
SULAWESIUTARA,7.66,130201361.04,9.43,11115,6.01,71.06,99.8,77.2674945109336
SULAWESITENGAH,13.48,166402665.12,8.75,9604,3.11,67.345,98.22,84.3090248406401
SULAWESISELATAN,8.69,504746873.15,8.26,11118,4.62,69.91,92.45,83.6917308246217
SULAWESITENGGARA,11.24,129260128.71,8.91,9436,3.52,70.52,94.91,85.2794920549714
GORONTALO,15.52,41150593.35,7.69,10075,3.76,67.21,98.75,80.6401253544113
SULAWESIBARAT,11.02,46360393.14,7.73,9235,2.98,64.375,93.59,86.7968089248591
MALUKU,17.69,46257180.82,9.81,8887,6.69,65.44,99.39,79.4808455614672
MALUKUUTARA,6.77,39715966.5,9,8308,4.81,67.545,98.79,82.730110140776
PAPUABARAT,22.17,84347692.51,7.44,8125,6.43,65.265,97.72,71.2727110447839
PAPUA,27.53,189716395.47,6.65,7336,3.51,65.225,78,82.1168445148468
